STNAME,Milk_or_curd,Pulses_or_beans,Dark_green_leafy_vegetables,Fruits,Eggs, Fish,Chicken_or_meat,Fish_chicken_or_meat,Fried_Foods,Aerated_drinks
Telangana,91.3,91.5,84.2,61,80.2,32.7,71.1,74.6,35.5,29.9
Andaman & Nicobar Islands,59.5,94.7,89,57.9,88.8,94.2,80.2,96.1,46.4,48.1
Andhra Pradesh,95.1,96.3,91.1,68.1,88.1,53,75.2,80,54.9,42.7
Arunachal Pradesh,60.1,79.5,95.3,63,76.5,76,77.8,81.4,63.7,45.4
Assam,65.4,95.9,90.7,62.8,77.6,83.1,66.6,86.4,80,30.9
Bihar,80.6,95.5,93.4,39.4,43.1,41,38.5,46.4,49,23.4
Chhattisgarh,45.8,86.5,93.5,42.1,41.9,36.9,34,40.2,37.2,20.3
Dadra & Nagar Haveli and Daman & Diu,78.7,83.4,87.5,52.1,38.6,32.2,36.4,41.4,25.3,35.2
Goa,95.1,99.4,96.8,73.1,81.6,91.9,47.6,93.8,78.5,53.4
Gujarat,85.1,92.2,94,39.8,19.8,12.2,17.9,20.6,23.9,22.2
Haryana,96.2,95.9,91.7,69.6,26.3,8.7,13.4,14.9,34.5,27.8
Himachal Pradesh,90.9,97.1,89.5,68.7,30.5,11.7,21.1,22.6,34.5,38.1
Jammu & Kashmir,91.5,87.6,86.4,71.6,52.4,21.1,52.8,57,32.6,31.8
Jharkhand,61,91.2,92.3,39.4,52.2,41.5,39.7,49.2,42.7,13.9
Karnataka,94.9,97.5,94.5,77.9,66.3,41.6,53.7,60.1,40,31.8
Kerala,87.4,89.5,82.6,79.9,68,88,56.2,90.1,51.4,27.5
Lakshadweep,85.4,65.2,56.6,82.5,75.7,97.6,72.9,98.4,78.4,47.2
Madhya Pradesh,73.9,93.6,92.5,46.6,32.2,20.7,21.6,25.3,40.5,16
Maharashtra,81.9,89,91.9,62.2,57.6,43.3,53.8,59.3,37.6,25.6
Manipur,37.8,87.2,96.6,55.4,55.9,65.4,54.7,75.8,55.3,19.2
Chandigarh,83.2,95,77,68.1,30,15.5,24.8,27.4,23.2,18.3
Puducherry,83.6,93.6,87.9,80.3,88.5,83.2,69.1,89.9,35.5,14.9
Punjab,92.6,93.5,88.9,66.8,28.9,11.2,17,18.9,28.8,24.3
Rajasthan,91.2,91.3,89.5,47.3,20.7,7.8,13.4,14.1,35.3,20.1
Sikkim,90.9,96.2,98.1,79.9,76.3,63.1,69.4,76.8,45.4,30.6
Tamil Nadu,92.4,97.3,92.3,68.5,84.7,62.5,67,77,40,20.3
Tripura,54.5,83,90.6,44.2,60.3,73.7,64.7,76.1,57.3,17.3
Uttar Pradesh,77.7,93.5,91.7,46.4,39.4,25,26.6,30.2,45,20.7
Uttarakhand,80.8,97.6,96.6,61,44.5,18.1,24.3,28.3,42.3,11.8
West Bengal,58.7,94.4,97.6,48.9,85.5,87.4,56.5,89.3,60.7,19.1
Odisha,31.9,96.1,98.9,26.4,69.7,71.2,58.6,75.8,59.5,11.2
Dadra & Nagar Haveli and Daman & Diu,78.7,83.4,87.5,52.1,38.6,32.2,36.4,41.4,25.3,35.2
Meghalaya,56.7,75.3,86.8,59.3,67.4,63.8,62.9,73,58.2,28.2
Mizoram,40.8,69.4,90.2,63.2,78.2,54.4,72.6,78,92.7,10.6
Nagaland,66.8,72.2,88.6,48.4,59.8,57.2,67.7,72.5,45.3,23.3
Delhi,94,98.5,96.8,88.4,67.9,25.8,37.8,41.8,44.4,22.7
Ladakh,92.7,86.9,89.1,73.3,51.9,13.1,51,55.3,25.9,28.9

